Customer_ID,Usage_GB,Bill_Amount,Expected_Bill,Roaming_GB,Anomaly
1,83,1966,2625,3,1
2,88,2544,4558,23,1
3,29,1320,1274,3,0
4,71,2276,2965,13,1
5,56,1520,2329,10,1
6,47,2447,2426,11,0
7,50,2217,2040,2,0
8,75,2013,3205,6,1
9,12,728,674,1,0
10,22,1166,1117,5,0
11,11,548,580,1,0
12,83,3721,4192,22,0
13,42,1874,1719,6,0
14,42,1822,1840,3,0
15,35,1370,1343,2,0
16,76,2270,3323,12,1
17,8,400,391,0,0
18,51,2568,2536,12,0
19,3,272,263,0,0
20,16,855,784,2,0
21,35,1341,1865,8,1
22,83,2882,3791,16,1
23,69,1724,2661,0,1
24,41,1341,1489,3,0
25,64,2119,2910,2,1
26,72,1636,2695,5,1
27,71,2894,3957,23,1
28,49,1563,2756,14,1
29,4,264,295,0,0
30,10,572,550,0,0
31,29,1436,1445,8,0
32,62,1682,2531,13,1
33,61,1639,2488,1,1
34,45,1651,1683,3,0
35,37,1837,1690,7,0
36,72,2626,2382,3,0
37,32,1444,1317,2,0
38,23,1124,1052,6,0
39,38,1955,1882,6,0
40,64,1699,2270,4,1
41,9,546,503,2,0
42,22,1086,1062,0,0
43,88,2464,3488,7,1
44,7,430,450,2,0
45,35,1442,1582,3,0
46,84,2528,3522,9,1
47,74,1938,2416,3,1
48,10,545,520,1,0
49,80,2917,4001,25,1
50,19,744,787,2,0
51,79,3381,3390,6,0
52,8,285,445,0,1
53,18,1146,1092,5,0
54,73,2051,2308,0,0
55,49,2164,1960,4,0
56,7,310,407,1,1
57,54,2702,2521,4,0
58,24,1246,1129,6,0
59,87,3535,4501,23,1
60,62,1877,2433,7,1
61,31,1245,1145,3,0
62,37,1748,1733,5,0
63,5,392,351,0,0
64,6,362,368,0,0
65,67,1873,2527,3,1
66,2,207,216,0,0
67,42,2213,2319,10,0
68,54,2330,2375,10,0
69,50,1924,2186,5,0
70,38,1569,1582,3,0
71,58,2589,2494,6,0
72,38,1570,1946,8,1
73,32,1511,1696,10,0
74,62,2388,3316,19,1
75,26,1143,1297,6,0
76,15,762,769,3,0
77,73,2292,3394,7,1
78,69,3579,3575,17,0
79,72,2337,3769,14,1
80,33,1601,1708,10,0
81,58,1925,2433,2,1
82,12,516,554,1,0
83,55,1953,2521,13,1
84,51,1930,2190,0,0
85,47,2383,2430,9,0
86,71,2643,3881,19,1
87,51,2775,2565,10,0
88,18,1040,1001,4,0
89,12,418,641,3,1
90,29,1533,1446,7,0
91,55,2399,2688,8,0
92,46,2346,2211,7,0
93,33,1594,1604,3,0
94,16,957,988,4,0
95,79,2768,4366,19,1
96,76,3612,3266,0,0
97,27,1237,1181,1,0
98,40,2063,2318,13,0
99,70,2143,3231,13,1
100,64,2252,2457,3,0
